,reviews
10,"Upon moving to Vancouver from Ontario to enter long term care for her Alzheimer's, my 86 year old Mom's banking was mostly with TD, some with BMO. We made an appointment with TD to change her address and we attended in person (which is not an easy thing to do). Unfortunately most of her ID was expired (passport, drivers license) but her Ontario Healthcare picture ID was valid. She also had a banking card and PIN, a birth certificate, SIN, and her signature was on file. Despite all of this and us standing right in front of them they wouldn't update her address. So I closed everything and moved it to BMO who welcomed us with open arms. TD Canada Trust are ridiculously bad!"
11,"Giving TD bank a one star is generous - i would give them no starts if i could. They have absolutely NO customer service, cumbersome online and phone processes that make accessing help almost completely impossible, and there is absolutely NOTHING to recommend them. I have a new credit card with them that I am trying to pay and i cant even access my account to pay it. Hey TD - do you want me to pay my bill or not? Once I get this bill paid - when i can actually get my bill - i will be done. I would recommend NEVER banking with them. I know all banks can be problematic but honestly interacting with TD's online/telephone/web   is the worst i have had the mis-pleasure to work with."
12,"it is worst and sucking bank , do not trust the sucking one"
13,TD maintains a poor cloud platform. I opened two TFSAs for myself and my wife linked to direct trading. The website is down on a daily basis.Very frustrating! Their customer service keeps apologising but nothing changes. Later I asked to add option trading to the accounts. It has taken more than a week to enable this all the time I cannot trade! if you want to invest there are lots of other platforms.
14,"I sold my house which TD carried the mortgage.  After taking multiple fees to sell it, 1 month later it wasnt discharged because the fees were done incorrectly.  I'm now scrambling to get the discharge over a month later.  This is difficult since I'm no longer in the country and they require me to come to a branch to take care of it.  They also withheld closing out accounts following a family death much longer than appropriate.  I will NEVER do business with them again."
15,If there would be a chance to put a zero star .. i would love to do that.. they dont know how to talk with customer .. 0 knowledge about the service.. all the time start detucting money from my account
16,"I can't even with this bank.... Had been trying to get shares deposited for over 3 months, get shares deposited and now I can't transfer the money out and can't open a bank account. I have never seen a company work so hard to avoid new customers. The take ZERO responsibility and dealing with customer service has been the worst experience. Avoid this bank like the plague unless you are a sadist and want to feel pain"
17,"I agree with all your reviews they are terrible, I was with them 20 years and I have excellent credit until I was defrauded just this year.. I had to appeal 3 times and told them many times this is an employment scam fraud...This monster took my visa maxed it out and took my TFSA and line of credit.. If they cant stop a fraudulent transaction on visa going to another country than thats a terrible bank and a huge loss.. They also ruined/trashed my credit by saying I gave away my pin.. Dont ever bank with TD CANADA TRUST never..If they tell you contact the ombudsman they will only say we cannot intervene..They wont give you back stolen funds that belong to you,they will accuse you and let FRAUDSTERS get away.."
18,"Does not matter what type of service you are talking, TD sucks in its customer service. Extremely Long wait times and very non professional attitude...I am TD customer for almost 20 years and rarely used their services but now I think enough is enough..."
19,"Their customer service sucks complete ass. Online service included. Would not recommend in the slightest, it's a waste of your time."
20,Absolute worst...and they NEVER take responsibilities.  No wonder they are facing class action lawsuits. Stay away from them!
21,"I would give TD 0 stars if I could. I’ve been banking with TD since I was a kid and it’s been nothing but issues and the worst customer service. I had my bank card stolen, and didn’t have money transferred back into my account a couple weeks later for a bill. Incurred an NSF they refused to remove. Funny how were in a pandemic and can barely make ends meet and TD is still making earnings on these ridiculous 48$ NSF fees. Now I’m 20$ short for paying my bill at all. Robbery. Way to kick someone while they’re down. Way to go TD. Thankfully opened up an account at BMO. Way better customer service there"
22,"Where to start been banking with TD for over 20 years mortage line of credit with them and I've been loyal. In 2018 forced to file bankruptcy due to non invoice payment by a big GC in calgary, Now with Covid and deferals asked to have my mortage extended from 21 years to 30 to reduce the payment and guess what NO TD have treated my like a leper with a doce of VD and some HEP C thrown in TD is a blood sucker that takes everything when times are good and never helps when times are bad I hope they go bust to"
23,Sad to see a bank treat people that fall on hard times badly been making small payments monthly and they have filed a false information about my payments to the credit bureau they also took and oldPay check from a company and failed to return it till it was pointed out to them took them 6 months I wouldNot recommended this bank to anyone I was a customer for 10 years
24,"I have been with TD for 8 years and have run into a variety of issues with the bank. The issues that I have dealt with primarily come from the technical side. TD Two-step authentication is a flawed system, if you change your number and forget to switch the authentication while the old number is not active, you will promptly be unable to pay for government issued documents. As CRA and GOVT websites requires easyweb two-step authentication. TD banking machines have eaten my card and failed to return it to me. The rates are mediocre and they fail to try to keep you as a banker.TD is a total disaster."
25,"Thoroughly disgusted by how this bank treats their customers. I have received many threatening letters regarding something where I am completely compliant. I call and complain but nothing changes. Out of mere convenience, I have stayed but if this continues, I will switch immediately."
26,"Terrible bank, poor customer service, lack of communication, unprofessional Rude incompetent staff. Low quality bank"
27,They retain your checks even if they are the same customers after months
28,Worst service at 500 country hills Blvd in Calgary they think all there customers are crooks even if they have been there for 30 plus years and never had any problems with there account. May be that’s the kind of customer they deserve.
29,"I have overlimte fees on my visa card. I went to the branch to fix the problem and they told me we can't, the visa transactions or problem solved by phone. I called them by phone and they told me go to the branch again to solve the problem . Nothing to do"
30,This Bank is horrible when it comes to flexibility with your own money !! Zero flexibility during pandemic time !!!Can only wave the NSF Fee once and can’t doing a second time even if the funds were transferred right away ! Ive asked many times to have the overdrafts on my account but somehow was never done  ! I’ve moved my RRSPs to another investment and looking to do the same with my TFSA first thing tomorrow and shopping for a new bank ! TD you have a bad costumer service and not reliable with our money !!!
31,"TD closed the branch near me without any attempt to gain more customers even though the bank always seemed to have customers waiting in a short line. This branch closed and now the nearest branch is 10 minutes farther away and due to having to do the job of 2 stores they can't keep up, it now takes 15 minutes to get to the drive in machine and 4 minutes to do a transaction that used to take 30 seconds, all the while looking at a sign that says America's most convenient bank. I have about $1M in the bank-how do they treat people with less?"
32,"Hello, I am Mohammed Hamdan. Yaar Muhammad Khan was my lawyer and I need to warn you about this man.  HIS MAN IS A CON ARTIST, A SCAMMER, A CHEATER, A LIAR. HE ACTS LIKE HE WILL PAY YOU BACK BUT HE ENDS UP STEALING YOUR MONEY. HE ACTS LIKE HES A FAITHFUL HONEST MUSLIM AND USES ISLAM AS AN EXCUSE BUT HE WILL STEAL YOUR MONEY. DON’T BELIEVE A SINGLE WORD THIS MAN SAYS, BEWARE.I sent him a check and  The check had been refused by freight liner dealer at Hamilton Ontario Canada and I spoke to Mike west (manager) and he didnt care and didnt help me at all and mentioned it wasnt any of his business."
33,"STAY AWAY FROM THIS BANK. Nothing but headaches. Every time. Guaranteed. I'll not tell all my stories as I would be here for days. Today's incident.... went to TD ATM to deposit an eCheck. ATM could not recognize the check (printed clearly, cut perfectly etc.) Went home, downloaded the app to deposit by photo, can not deposit more than $5k by the app. And, I suppose, there will be another screw up when I now go into the bank and see a teller. Nothing but troubles at TD Bank."
34,"This institution has the absolute worste customer support, I purchased a Samsung note 10 and received no interest loan. I ended up paying it off in 5 months instead of 24 months. I just got tired of TD bank and their CS. I set up auto pay and the payment didn't go through on time so I called and was told it taked 2 months to process. Then I changed my payment bank account and they said well have to wait another 2 months. This is after waiting on the phone for an hour each occerance. Saisis a leading tech company and they can't find an intelligent bank to handle their business? Beware of this lackluster Bank!"
35,Was with TD for years until I realized there are better options - any other bank. When Canada Trust and TD merged my money manager told me TD had merged with CT because CT was taking customers from the big 5 due to their customer service and TD wanted that attitude to be adopted by TD employees. That may have been the intention but if it was a success it lasted a short time and TD has become the worst of the big 5 again. Sad!!!
36,"TD bank is a nightmare! I had the worst experience. The customer service is horrible. The employees are literally yelling and insulting the customers. The personal banker even suggest one of the customer to go get some respect at Chase Bank. TD is not bad everywhere. It also depends on the location. The Valley Stream location which I used to visit before had super nice employees. But, after visiting their location in Kew Gardens I want to close my account. They are not at all cooperative. Please stay away from them!"
37,"Avoid this bank at all cost. They're not open to any mortgage rate negotiations. They have the longest wait time for auto insurance quotes. The phone automation service is outdated... doesn't even tell you your wait time lol. Lastly, they don't follow up with your needs, but only their marketing material. TD is in it for your money, not for you. Period!"
38,They will hold your money hostage. Make every step of your banking as difficult as possible. I have good credit but won't even give 300 dollar overdraft protection on my chequing account but have no problem taking The NSF fee. Got an account at Scotiabank with 1000 overdraft no problem. Worst bank ever. Wish I could give 0 stars
39,"You guys are absolutely horrible, you don’t let people inside the bank to reset a pin but then you call like they tell you have to and you can’t do it either. Your withholding my own money from me! Because of this I will be closing my account tomorrow and done with you people. Your hours are horrible and customer service sucks! Thanks!"
40,"This is worst bank when it comes to dealing with their customers. First, they insult the customers by putting them on hold. It happens every time I called them. Second, their employees are very rude and try to dictate whatever they want. They think the customers are ignorant and stupid."
41,"You actually get no stars. A big fat zero. I cannot begin to fathom how you operate a Web Broker trading platform that is down due to technical issues the last hour of trade on a Friday afternoon, potentially costing me thousands of dollars.  I may be speaking to my lawyer Monday morning if your ineptness has cost me any money from the time it went down to market close.  Time to find a reliable platform!"
42,Horrible customer service! You can hang on the line for ever! Almost impossible to get help.
43,"Recently called TD dispute line, Representative DAVID was extremely rude, dismissive and not at all patient with me. I was trying to speak with him politely and he was extremely rude and disrespectful, spoke to me like I was stupid and hung up on my face... A CUSTOMER.Very disappointing"
44,This bank is generally good when going to the bank in person. But when calling customer service I asked to speak to a manager to cancle a credit card payment that charged me twice. The managers name was Sarah she was absolutely awful!! and in no way should be working customer service she was rude and cross in her tone. And absolutely did nothing to help my situation. There is a way of speaking to people and this woman did not know how to be polite in anyway.
45,"Very misleading!!!I just came back from the branch where I was sent to activate my credit card. They took our ID (primary & secondary card holder). They confirmed all is done at their end, they told us to go home and make a phone call to activate the cards. We insisted and told them we were advised they are the ones to do it.We just called online and the agent said it has to be done at the branch, he said he has no access to our profiles.Again we insisted to look into it further, that we were advised they are the ones to do it. He put us on hold and then hung up.I have to add that this was my 4th trip to a TD Branch for the same issue."
46,"This bank is the worst the customer  service  representatives  are nasty..and rude...they tell u all these offers til u sign up for a account  and things are different  they don't  give u overdraft  when your enrolled in advance or standard..they aren't  interested  in what the customers  need or inconvenience...to customers  the Atlantic  City  bank have disabled people  out in the sun to get services  unlike other banks..in the drive through  line..this bank is the worst bank the secure messenging system takes several  weeks too respond..during  the pandemic  all other  banks are open to customers  ..the customers service are attitudish and act as if there doing us a favor by letting  you bank with them...do not use this bank..avoid them.by all means..I also have pictures to post of the customers  standing outside  in the sun ..people in wheelchairs to cash checks there horrible..and don't  sign up with them they are not giving  new customers  the benefits there offering overdraft..advance  etc..after  90 days..they don't  tell u that in the beginning  when applying for a account..its a total inconvenience and its embarrassing  to expect certain services  than this..Leave this bank alone and they Diffently  need better customers  service representatives  there nasty,sarcastic  and straight  rude!!!!"
47,"I paid my balance in full two days ahead of the due date and still faced a late fee penalty for using their app. Multiple times I did what the customer service people said to do to avoid a late fee and I still got one. And I always payed my bill in full days ahead of time. But for some reason it always posted a day late, incurring me with a $35 fee. The money was taken out of my TD bank account and for three days there was no record of it. Just gone. Until it showed up a day late on my credit card bill. And this was multiple times. Then you call their customer service people who are just as stupid as the company they work for, and they act like you’re a moron for using their app. When the TD card services representatives don’t know anything about the transaction. How can you take hundreds of dollars out of my bank account and then there’s no record of it, even for the horrible customer service people who work for the bank that took my money. Worst credit card ever, hands down."
48,"Their phone time wait for anything was never great; now in Covid times, it's absolutely disgusting. You're likely to wait 30 minutes then get cut off. If you get through, it's only after 50 or more minutes. Then there's the bank reps - you get them working on something and they just drop it. If it wasn't going to be a PITA to change everything, I'd go elsewhere. In the meantime, I do all my banking online so I don't have to bother with any of their personnel."
49,Terrible phone in customer service I can never get threw on the phone when I did I was on hold for over an hour! there fees are over the top 48$ for a nsf.
50,"If I could rate TD Bank below a negative zero, I would passionately do it!! First and foremost, I am a target card holder. I have had an impeccable payment history. Not once being late and in fact, I am always early and Make payments triple the amount due monthly. I learned that TD Bank has decided to lower my credit limit significantly due to the increase balances on my credit report. Let me point out what these banks like TD Bank are Notorious for doing. If you don’t use enough of your line of credit they either reduce it or close your account. When they can increase your line of credit without asking for it. In this particular case, I have use several of my other credit cards for medical purposes yes, Covid related like my MasterCard or American Express therefore, my over balance on my credit report will reflect this. So what does TD Bank do, lowers my line of credit significantly. I have NEVER EVER brought my credit utilization over 30%. Well guess what? TD Bank is ruining my credit score that I worked hard to improve. Now it appears as if I used 99.9% on my credit limit because they reduce the limit to what I currently owe!!!! These banks are not here to help people, they are only concern of what their portfolios look like! Once I pay this balance off, I will never use this card again!! Both my daughters also have target credit cards and they will no longer be shopping at target. Horrible business practice!! I could understand if I was defaulted on my account or late in payments. No I am the complete opposite! I spend an insane amount of money and pay my balances off in a short time to avoid paying interest. I am making everyone aware of these business practices. TD Bank will approve you for a credit card, shortly after, increase your credit limit significantly (without your knowledge) and when the time comes for them to improve their profits, they reduce your credit line severely impacting your credit utilization and credit score! Do Not get sucked into opening an account with TD Bank, you will get SCREWED! Go to your credit union, Citibank or American Express. These are the companies that actually care for people and I mean truly care for people!! TD Bank and Synchrony WILL ruin your credit and I mean ruin your credit you worked so hard to improve!!!"
51,"TD is not a good bank that I would recommend to someone my friend or family member. They have the worst customer service. They behave unprofessionally. They even don’t know how to deal with customer. The worst bank I have ever had. You just go for 5 min work to do. However, they make it 1H or even longer than that."
52,This bank is the worst!! They purposely hold back your money so they can charge you with an overdraft payment. Do yourself a favor and stay clear of this bank
53,My credit rating was damaged when TD didn't notify me of a remaining balance after I cancelled my card.  Six months later I became aware and rectified it.  TD did send a request to Equifax to resolve the credit drop but it hasn't yet taken effect (credit rating is still well below where it should be)My experience with all other banks is that a balance must be paid in full (not merely a promise to repay) before one can close an account and this is how it should be.
54,i have to reset my password about 70% of the time and about 20% of that i have to call TD bank and spend 20-30 min on the phone just to access my account. They ask questions that can only be answered while looking at your account. It's ridiculous! My boyfriend also has an account and he can't make e-transfer work from his account work. If other banks offered e-series i would transfer.
55,"I have just spoke to a super rude and unprofessional person at the calling center. What a rude and a racist person. Cutting me off, talking to me like if he is my boss who is giving me a favor.   then at the end he is asking me if i need someone who can speak Hindi, Punjabi !!!!!! I told him that we are speaking English right now, I do not need a translator. and by the way I do not speak Hindi or Punjabi, Plus why would he bring this unnecessary comment? Oh he is assuming that I am Hindi or Punjabi ? and that was the reason for being rude?. I think you TD bank should hire some professionals who have manners."
56,What a joke of a bank. Why do $100 e-transfers take over an hour to send? Absolutely disgusting service.
57,Worst bank ever. No one knows what they are doing. You just get transferred from phone to branch to phone and more people on the phone
58,"Last Friday August 7, 2020 I went to the Paris  ON Branch, with my fiance. The girl that they have outside of the bank who finds out the reason for your visit is very rude and unprofessional. She should stop racially profiling me whenever I come there to the branch. When you treat others differently and give bad treatment to people you seem to deem as beneath you, you shouldn't be working with the public. The next time you try to treat me in that manner, I will file a human rights complaint against you and TD Canada Trust bank. Racists like the lady you have working out in front of the bank are disgusting. Her behaviour is gross, period. The worst thing about the whole ordeal was that she thinks that she was being sneaky with her covert racist behaviour, but people  like myself know exactly what type of racist game you're playing. I hope that one day someone treats you the exact way that you treated me, when the only thing that I had to do to you was show up at the bank to do my banking. You would think that this lady being of East Indian descent would understand what racism is and act better than that. But in this case certainly not."
59,"I wouldn't do any banking with TD.  I have been with them for over 8 years and I can tell you time after time their checking accounts minimum balance to avoid fees keeps going up.  This year they decided that even $6,000 for my minimum checking account wasn't enough to avoid a $3.95 fee a month.  Now hold on a second TD. You telling me you don't make $3.95 in interest from lending my $6,000 each month?  The greed this bank has is beyond belief.  Guess what? I'm transfering my money to questrade for my TFSA.  Questrade has lower fees to buy stocks.  So TD your greed for the $3.95 is not only going to mean less of my money in your useless checking account but also I'm transfering my TFSA to questrade so you won't make $10 on me everytime I buy or sell stocks.  Now who is the loser in this equation? Keep your $3.95 and enjoy it while it lasts."
60,"Worst customer service in Canada that I have ever had. I have been with the td for 20 years and they have systematically fallen into chaos every year since I opened my account. The customer service has become rude with a guise of happy shiny faces whom don't know the answer to any questions you ask them. Trying to get online or call service help takes up to an hour due to the useless info they spew at you before someone answers. This is almost always followed up with someone hanging up on you within min of answering. If you can chose another banking institution, please do so."
61,"I have a car loan with TD....simply trying to gain access to see my loan on their 'easyweb' is the WORST. 3 days and 2 trips to the branch later, during a pandemic, I still don't have access!!!! All I want to do is pay you. I will never bank with you simply because of this. On a positive note, every employee has been very friendly. No one can help me, but they are very friendly."
62,Terrible serviceHave accounts in Canada and USANot convenient at all. (although they claim to be America's most convenient bank)Stick with Wells or BOA.The system runs this place and no one is competent enough to make a decision outside of what the computer tells them to do.To top it off - even when they read the computer script - their people still manage to screw it up.
63,"I went to the branch across Carlingwood mall in Ottawa for a wire transfer from Ontario to Quebec, between 2 Canadian banks! I was served by one teller and another one was standing next to her.She offered to do a draft as she needed more info for the wire transfer. The ONLY missing information was the SWIFT code. They could have told me to step aside and get back with the SWIFT code...they were 2 of them and it didn't cross their mind. I had handed my cellphone so she could see the specimen check with all the beneficiary's address, his bank's address, account number etc.... When I asked (already VERY upset) to speak to a manager, the teller handed me my cellphone back like I was a dog. The manager came and repeated they needed all the info that was IN FRONT OF THEM on the specimen check. So only the SWIFT code was missing. I told them it's all there, getting more and more upset at seeing 3 incompetent ladies with none offering me to step aside to look for the SWIFT code. The manager told me not to raise my voice against their staff and yelled at me ""do you want to leave? Do you want to leave?"" That was her way of offering me a solution!!! Of course I left as I felt scared she would call the police and given that I am black, I felt threatened and (I suspect she was totally profiling and racist) I just left. I called TD's number for complaints right after: USELESS. The representative at the 2nd level of escalation explained that they don't want to ""rush"" customers into providing wrong information: ughhh??? Did he even hear the reason for the complaint???? I wasn't disputing that they needed the SWIFT code and did not provide it themselves as a policy...I said I was shown the door instead of the opportunity to provide the ONLY piece of info missing that anyone can google. The result: I was not serviced, I felt discriminated against and I felt threatened that next step would be being another Black person in the hands of police (I shared the experience with many of my friends and they all suspect the TD representatives were profiling as well). Anyhow - I am not sponsoring racist behaviour by paying fees to a bank doing nothing to end it."
64,Terrible service!!!!!!!!!!! Waiting forever to get to customer service while they charge ridiculous fees
65,Use this app to trade. Constantly crashes and can’t sign in sometimes. Would not recommend this app for investing
66,worst customer service. If you ask them a question that they don't know the answer to they just hang up! I called 4 times each time waiting 40 minutes or more! Ridiculous!
67,"My access card got locked because TD thinks there’s a fraud in my transaction. Received a text message telling me to reply Y if it was me. I responded and my card was still locked. I called the number they told me to contact. waited 3 hours and still no representative picking up the phone. Went into a local branch and they said I had to call the same number and that only they could unlock the card. Waited another 3 hours and still nobody picking up. Honestly? The fraud prevention thing is good and all but they really need a better way for customers to unblock the card instead of waiting all day to get no answer and the card still being blocked. Useless call centres. I bank with TD and RBC, I can say that I like TD products more but RBC has way better customer service and ways of handling these situations, I have never waited more than an hour for RBC representatives to help me. Ridiculous"
68,People are nice once your call is actually answered but the big problem is the wait. On hold for an hour and a half now just to get access to my money to pay rent. Please consider hiring more people to answer phone calls as this is using up all of my minutes.
69,Always long telephone wait period compare to CIBC bank. It's challenging to connect phone and somebody will pick phone.
70,They have the worst customer service. I contacted them many times and after being on hold for an hour I get someone who simply hangs up. I am talking to my attorney now and will take TD to court and file lawsuit against them.
71,"Wish I could give ZERO STARS, as this is what they deserve. On hold for an hour after I noticed they took EXCESSIVE fees out of my account. Funny how these Canadian chartered banks manage to make billions annually, pay their executives millions and can’t bother to provide even a modicum of customer service."
72,"Like the rest of reviews mentioned, this greedy institutions only cares to enrich itself at the expense of its clients. They could have at least have a well trained and friendly customer service department, but no, probably one of the worst I have had to deal with in the last 5 years. Super rude, and apparently being openly racist either in-person at the counter or over-the phone is something that is widely accepted by TD, if not encouraged (based on my experience dealing with them for the last 4-5 years)"
73,"TD Bank loves taking your money but apparently they do not like helping you withdraw it back out of their bank. And yes, COVID has made this difficult for everyone, but we have all lost in one way or another. When you decide to bottleneck your already terrible customer service by closing half of your branches, you are making it impossible to ever have something fixed in a timely fashion! I don’t remember getting a COVID discount for having ten times the trouble getting an issue fixed (ie: a broken/missing debit card where I physically have to go in and not use an online service). It’s simple: we previously paid you whatever costs based on what you need to survive and profit; likewise you provided minimal service in keeping our money accessible and safe. Now we pay you the same yet you are half open and much more ineffective than ever. Doesn’t make sense to me but hey let the little guys just keep handing over their money to you. If I did not have an indebted account from school with TD, I’d have left a long time ago. I should be able to use my money when I want it not when the bank feels like it."
74,#1. My credit card is useless and gets blocked 3x per month. So I am forced to call in and speak with their piece of $hit customer service staff.The automated system asks you for a card number and always comes back as invalid. Finally get through and the a$$hole hangs up on me. Fvck TD.
75,"TD bank has to be one of the worst institutions I've worked with. I needed to set up a cross-border banking system since I work in Canada and live in the US. TD is one of the few banking options that offers this service, but it's got to be the most convoluted, expensive set up I've ever encountered. Setting up on the Canadian side took about 90 minutes in person, but required me to visit a branch in the US to establish that side of the equation. Without a local branch in my home state, I needed to call an 800 number, wait 30-45 min on hold, and spend another 30 min on the phone setting this up. This process took three or four times and a total of 10 weeks to get set up. Fees are astronomical, clocking in over $25 each month, plus transfer fees every time I needed to transfer my Canadian paycheck into my US account. Considering I get paid 2x monthly, these accounts cost me approx $50 month. Now I need to close the accounts, which is no easy task. To close my US account, I need to write a letter, get it notarized and snail mail the request--all because there is $4 balance (they're going to charge me a $15 maintenance fee tomorrow).  My canadian account had a balance of $14, and TD wanted to charge me a check and processing fee (I want to say it was $25) in order to close the account. Thankfully, I was able to donate that money to charity and close that side of the house. I've spent HOURS on the phone trying to complete normal, daily banking transactions - nothing too complicated. TD has made this task unbearable, inconvenient (ironic since my account is ""Convenience Checking"") and overall miserable. I'm not sure how I'll end this relationship with TD since they make it so difficult to close my account, but I can't wait to be done with them. Never again."
76,"I have banked with TD since I was 16! I’m 37 now and I tell you, their customer service has hit rock bottom. I’ve spent hours on hold while trying to talk with a rep about my insurance policies. I’ve decided to move all my banking else where. There is no incentive to be a loyal customer!"
77,Garbage Bank. Both TD Bank & TD Canada Trust.
78,"This is probably the worst customer service and technological interface for a bank that is allowed to do business in the USA. Beware and read the reviews prior to doing any business. You have been warned! I signed up for automatic payments and then received calls about no payments received, I called and they informed me that it takes 45 days to finalize automatic payments. If you change the amount of the payment then it will take another 45 days to finalize. In a modern digital world that is unacceptable. It's 2020 not 1980."
79,"Worst bank in canada, charged too much. Scam bank of canada and rude customers services."
80,"TD bank is worst. They hold fund for more than 10 days and keep charging overdraft fee. The customer service is useless. I called Branch in Rockway,NY.  It was also useless. I had to call many times to get back my overdraft fee. I’m closing my account soon."
81,"There was some transaction problem going on with my credit card and hence, I tried to contact TD, hoping that they could help. But, opposite of what I was hoping for, the customer service was incredibly terrible as the agent kept on insisting that my problem has never existed in the first place. Furthermore, she was extremely condescending by repeating the same thing regarding how pending and posted transaction works despite the fact that I told her I have been with TD for over 10 years. So terrible! This whole experience really made me reconsider my decision to continue staying with this bank..."
82,Been with this bank for 12 years now and they still won’t qualify me for an overdraft - won’t be using this bank for my inheritance that’s for sure .
83,Customer service does not call you back if the call drops and you have to wait on hold forever to get someone else and start the dispute all over again! They say they can not call and forced to take the next incoming call! Nevermind it takes 5 munutes just to get through all there questions. Call a branch for customer service!
84,"My worst experience ever, I am here right now at TD Millwoods Hewes Way branch July 23 at 5 pm it is raining and because of their not so client friendly virtual  line policy for covid they let us get wet from rain. They don't let us go even on the side of the bank to get shade from rain, I was asked to go out I went under pine tree so not to get soaked from rain.Other bank have better ways dealing with covid for their clients. Not happy with my experience today."
85,Stay away run for your life I have used CIBC and there better so far after a Year and the other one who is totally incompetent is Scotia bank but i was with Scotia 20 years and all of sudden they fell apart and TD i think has fallen apart from the get go terrible service agents none of them have the same info you think they would have same standards from agent to agent very strange. Anyways I am not recommending CIBC but have better relations with them to this point. I have my mortgage credit card and Auto load with them. TD screwed me over on a auto loan that's why i switched and they where in the wrong an didn't correct it to my satisfaction I did get a sorry but no resolution on the matter.
